corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,lag,mean_overlap_obs,mean_overlap_null_mean,mean_overlap_null_sd,z_lag_overlap,n_pairs
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,18,1.514013749338974,1.3655896351136965,0.0260996528656495,5.686823307164471,1891
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,19,1.4904761904761905,1.3660936507936507,0.026277425606361413,4.733437040058765,1890
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,20,1.4843832715722605,1.366475383800953,0.02674356315291924,4.408832401917136,1889
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,1,2.4648625054561326,2.395656918376255,0.012413669553274578,5.574950000310116,2291
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,2,2.2305676855895196,2.1210052401746724,0.014625598263285787,7.491142819769539,2290
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,3,2.034512887723897,1.9000139799038882,0.017058218435032434,7.884698412806612,2289
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,4,1.875,1.7113872377622377,0.020005370320209916,8.178442069251611,2288
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,5,1.7372103191954527,1.548927853082641,0.02179922396273832,8.637117836609471,2287
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,6,1.610673665791776,1.4125883639545056,0.02283968022304328,8.672857934211324,2286
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,7,1.585120350109409,1.3929299781181619,0.022563199151260857,8.517868884763507,2285
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,8,1.5691768826619965,1.3860262697022767,0.022751637228429312,8.049997067062229,2284
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,9,1.5672360928602715,1.3851839684625493,0.022924488152801237,7.941382297579304,2283
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,10,1.539877300613497,1.3851590709903594,0.02305606414192819,6.710522171985872,2282
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,11,1.5379219640508548,1.3851508110477861,0.023302753558590024,6.555927076126721,2281
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,12,1.5399122807017545,1.385109649122807,0.02368610088297509,6.535589472652094,2280
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,13,1.5340061430451952,1.3848547608600263,0.02388476559363546,6.244624072212501,2279
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,14,1.5364354697102722,1.384661545215101,0.023993978564161227,6.3255005454522415,2278
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,15,1.5349143610013176,1.384314448836188,0.02413208095686998,6.2406517048525165,2277
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,16,1.539103690685413,1.384719683655536,0.024098578537912006,6.406353253865131,2276
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,17,1.5375824175824175,1.3850008791208792,0.023710526832425614,6.4351812821330325,2275
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,18,1.5316622691292876,1.3849344766930518,0.023339975599111447,6.28654438018443,2274
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,19,1.5200175978882533,1.385245490541135,0.023031820029402367,5.851561325812222,2273
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,20,1.5026408450704225,1.3853270246478873,0.022798712159960592,5.145633648051549,2272
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,1,2.495633187772926,2.462985807860262,0.01931894876495321,1.6899149280777614,916
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,2,2.2972677595628417,2.2510950819672133,0.022475868752115498,2.0543222646858736,915
